รหัสหน่วยงาน,ชื่อหน่วยงาน,ตัวย่อหน่วย,ตัวย่อสังกัด
0500,กองทัพเรือ,ทร.,ทร.
0501,สำนักงานเลขานุการกองทัพเรือ,สลก.ทร.,สลก.ทร.
05011,แผนกธุรการ,สลก.ทร.,สลก.ทร.
05012,กองเลขานุการ,กลก.,สลก.ทร.
05013,กองประชาสัมพันธ์,กปส.,สลก.ทร.
0502,กรมสารบรรณทหารเรือ,สบ.ทร.,สบ.ทร.
05021,แผนกธุรการ,สบ.ทร.,สบ.ทร.
05022,กองแผนและโครงการ,กผค.,สบ.ทร.
05023,กองสารบรรณ,กสบ.,สบ.ทร.
05024,กองโรงพิมพ์,กรพ.,สบ.ทร.
05025,โรงเรียนสารบรรณ,รร.สบ.,สบ.ทร.
0503,กรมกำลังพลทหารเรือ,กพ.ทร.,กพ.ทร.
05031,กองกลาง,กกล.,กพ.ทร.
05032,สำนักบริหารกำลังพล,สบพ.,กพ.ทร.
050321,กองนโยบายและแผน,กนผ.,สบพ.กพ.ทร.
050322,กองการกำลังพล,กกพ.,สบพ.กพ.ทร.
050323,กองการปกครอง,กปค.,สบพ.กพ.ทร.
05033,สำนักพัฒนากำลังพล,สพพ.,กพ.ทร.
050331,กองการศึกษา,กศษ.,สพพ.กพ.ทร.
050332,กองวิทยาการ,กวก.,สพพ.กพ.ทร.
050333,กองวิเคราะห์และประเมินค่า,กวป.,สพพ.กพ.ทร.
05034,สำนักบริการและสิทธิกำลังพล,สบส.,กพ.ทร.
050341,กองเสมียนตรา,กสม.,สบส.กพ.ทร.
050342,กองทะเบียนพล,กทพ.,สบส.กพ.ทร.
050343,กองบริการกำลังพล,กบพ.,สบส.กพ.ทร.
050344,กองบริการกำลังพลนอกประจำการ,กบน.,สบส.กพ.ทร.
0504,กรมข่าวทหารเรือ,ขว.ทร.,ขว.ทร.
05041,กองกลาง,กกล.,ขว.ทร.
05042,สำนักนโยบายและแผน,สนผ.,ขว.ทร.
050421,กองนโยบายและแผน,กนผ.,สนผ.ขว.ทร.
050422,กองวิทยาการ,กวก.,สนผ.ขว.ทร.
050423,กองการต่างประเทศ,กตท.,สนผ.ขว.ทร.
05043,สำนักการข่าว,สกข.,ขว.ทร.
050431,กองข่าว,กขว.,สกข.ขว.ทร.
050432,กองรักษาความปลอดภัย,กรภ.,สกข.ขว.ทร.
050433,กองปฏิบัติการข่าว,กปข.,สกข.ขว.ทร.
05044,สำนักงานผู้ช่วยทูตฝ่ายทหารเรือ ประจำสถานเอกอัครราชทูตไทย ณ กรุงวอชิงตัน,Null,Null
05045,สำนักงานผู้ช่วยทูตฝ่ายทหารเรือ ประจำสถานเอกอัครราชทูตไทย ณ กรุงลอนดอน,Null,Null
05046,สำนักงานผู้ช่วยทูตฝ่ายทหารเรือ ประจำสถานเอกอัครราชทูตไทย ณ กรุงปารีส,Null,Null
05047,สำนักงานผู้ช่วยทูตฝ่ายทหารเรือ ประจำสถานเอกอัครราชทูตไทย ณ กรุงโตเกียว,Null,Null
05048,สำนักงานผู้ช่วยทูตฝ่ายทหารเรือ ประจำสถานเอกอัครราชทูตไทย ณ กรุงมอสโก,Null,Null
05049,สำนักงานผู้ช่วยทูตฝ่ายทหารเรือ ประจำสถานเอกอัครราชทูตไทย ณ กรุงเบอร์ลิน,Null,Null
050410,สำนักงานผู้ช่วยทูตฝ่ายทหารเรือ ประจำสถานเอกอัครราชทูตไทย ณ กรุงนิวเดลี,Null,Null
